,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
0,-25.116999999999997,149.245,363.1,1.2,1.1,2019-12-08,0,Terra,MODIS,100,6.0NRT,316.6,102.6,D
1,-32.263000000000005,123.294,349.3,3.4,1.7,2020-01-03,500,Aqua,MODIS,95,6.0NRT,307.2,287.4,D
2,-36.918,146.782,336.7,1.0,1.0,2020-01-02,1520,Aqua,MODIS,100,6.0NRT,293.9,38.6,N
3,-16.985,138.283,343.4,1.2,1.1,2019-12-12,115,Terra,MODIS,85,6.0NRT,315.4,30.1,D
4,-14.865,131.262,311.5,1.5,1.2,2019-11-17,1335,Terra,MODIS,78,6.0NRT,300.1,11.6,N
5,-30.875,132.752,318.1,1.3,1.1,2020-01-02,1340,Terra,MODIS,96,6.0NRT,300.0,16.6,N
6,-15.277000000000001,143.22799999999998,307.6,1.3,1.1,2019-12-18,1250,Terra,MODIS,21,6.0NRT,292.6,7.2,N
7,-33.177,150.269,352.4,1.3,1.1,2019-11-21,340,Aqua,MODIS,95,6.0NRT,306.2,83.4,D
8,-29.201999999999998,151.679,350.0,1.0,1.0,2019-10-20,340,Aqua,MODIS,94,6.0NRT,303.3,55.2,D
9,-34.323,118.35,340.2,1.3,1.1,2019-12-29,620,Aqua,MODIS,80,6.0NRT,311.4,34.7,D
10,-37.376,148.441,316.4,1.8,1.3,2019-12-30,1445,Aqua,MODIS,91,6.0NRT,277.4,24.2,N
11,-31.635,152.13299999999998,338.2,1.0,1.0,2019-12-19,1505,Aqua,MODIS,100,6.0NRT,293.1,38.1,N
12,-24.245,129.585,337.2,1.0,1.0,2019-12-26,130,Terra,MODIS,58,6.0NRT,318.3,12.6,D
13,-35.63,150.099,324.4,2.1,1.4,2019-12-15,425,Aqua,MODIS,64,6.0NRT,282.3,56.8,D
14,-25.578000000000003,153.012,326.3,1.0,1.0,2019-12-23,340,Aqua,MODIS,40,6.0NRT,297.7,13.3,D
15,-37.571,147.51,303.0,1.4,1.2,2020-01-03,1245,Terra,MODIS,43,6.0NRT,290.6,8.5,N
16,-32.632,122.23899999999999,363.7,1.0,1.0,2020-01-07,155,Terra,MODIS,100,6.0NRT,316.2,81.4,D
17,-16.698,124.001,343.9,4.3,1.9,2019-10-10,445,Aqua,MODIS,87,6.0NRT,315.6,246.0,D
18,-32.707,150.446,318.0,1.9,1.3,2019-12-06,1220,Terra,MODIS,59,6.0NRT,295.0,34.7,N
19,-35.847,136.675,372.5,1.1,1.0,2020-01-03,500,Aqua,MODIS,100,6.0NRT,317.2,105.2,D
20,-28.081,129.11,356.9,2.6,1.6,2019-12-20,205,Terra,MODIS,92,6.0NRT,306.7,252.1,D
